year,venue,paper_id,review_id,segment_id,segment_type,segment_hash,paper_decision,review_score,review_confidence,raw_open_code,canonical_code,canonical_code_id,split,source_available_from,code_model,moderator_model
2022,ICLR.cc,1OHZX4YDqhT,ICLR.cc/2022/Conference/Paper3618/Reviewer_y4xh,seg_2d44e482cb23c0e3,full_review,5c49bc5e6936573fd99638d679c7c0225ece918da7a746e540562f73146ef24d,Reject,5.0,,Effective handling of data heterogeneity in federated learning,Effective handling of data heterogeneity in federated learning,CC005290,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,CQF8mTF7qx,ICLR.cc/2024/Conference/Submission8659/Reviewer_dCJC,seg_db5376e49899ce50,weakness,ec189350db1f51f48bd9f585e1ca6e923684d16c332954c268c54fabb4a1ddaf,Reject,5.0,,Readability and clarity issues,Readability and clarity issues,CC022952,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,UnuSBQjgqK,ICLR.cc/2024/Conference/Submission1838/Reviewer_YFdU,seg_4efb7c3eeca9b765,strength,28575a47d783bcab13082e7125dcb27177b8ee1b5e2b9e1f4fd8926294837ee6,Reject,6.0,,Clarity and strong empirical performance,Clarity and strong empirical performance,CC001136,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,kxebDHZ7b7,ICLR.cc/2024/Conference/Submission5847/Reviewer_MZmv,seg_3186ab253df515c6,strength,0207de160efcef69439efab24b0dbfb1368c8699646aaad410656b917e2832bc,Accept (spotlight),8.0,,Intuitive method with effective experimental validation,Intuitive methods with strong experimental validation,CC015888,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,rxUz2DaulF,ICLR.cc/2025/Conference/Submission14016/Reviewer_kPgp,seg_32ac33751659781a,strength,fc17cb68226d05488d7f7e4d61fbaff472cbeec42fc02f02af62b4ca94585d89,Reject,5.0,,state-of-the-art performance,State-of-the-art performance,CC024498,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,Sy-o2N0hF4f,ICLR.cc/2023/Conference/Paper1352/Reviewer_HyxY,seg_d0b04c57f6c9f982,full_review,991b037c27e1906058198841fea71c49596c7a48d688909624754b2bf06fc2dc,Accept: poster,6.0,,Clear methodology and significant performance improvement,Clear methodology and strong performance,CC001659,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,xJDxVDG3x2,ICLR.cc/2025/Conference/Submission6027/Reviewer_baLq,seg_9ab4fb6a71ef6191,weakness,db95a82664603d30a099ee7ff7e6aa66ae9e110a2036e73d093da7a3a1de2ef4,Accept (Poster),6.0,,SOTA Models Absent,SOTA Models Absent,CC023622,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,2DJUXmHZ2O,ICLR.cc/2024/Conference/Submission6972/Reviewer_iHns,seg_f1b397f70dbe0904,strength,4bd9a18d8579af825c41b84ad55d1fe3f10e48ad79eaa64b52a7729b38803114,Reject,5.0,,Clear presentation and verified empirical evidence,Clear presentation and strong empirical support,CC002052,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,xnhvVtZtLD,ICLR.cc/2024/Conference/Submission6517/Reviewer_34eA,seg_ca36785f2c43ab58,strength,45e473fa8ed499c697022fc1d8736d5580a58a73d9537b6b137545dd29091b16,Accept (poster),8.0,,Novel contribution and clear exposition,Clear exposition and novel contributions,CC001480,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,qA4foxO5Gf,ICLR.cc/2024/Conference/Submission4666/Reviewer_dkXq,seg_6de87384bf896ce5,weakness,af6c598faa3ec5bab34521a71a26668a5ae4d1ca6dd0a03d6f47f0dfb443face,Accept (poster),8.0,,no weaknesses identified,No identified weaknesses,CC019480,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,tijmpS9Vy2,ICLR.cc/2025/Conference/Submission8495/Reviewer_jfJX,seg_ff5c2f3c638cf807,weakness,ef9eb22dcc3a3bd0909564e5404dc21f3233f1c72ab2b098e7d57e2901fbf561,Accept (Poster),6.0,,inadequate explanation,Inadequate explanation,CC030096,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,MRQJmsNPp8E,ICLR.cc/2021/Conference/Paper619/AnonReviewer2,seg_69cd0994077ad596,full_review,1110dece38dd3906650e5e9b0e5b362dddeff514d713070629d4162710108354,Reject,4.0,,Innovative approach to unsupervised representation learning,Unsupervised representation learning approach,CC026879,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,yuXQOhKRjBr,ICLR.cc/2021/Conference/Paper589/AnonReviewer3,seg_6bf3a0375bfbfa9a,full_review,7d08c6f5f716ccc4114fa4c2bd5a31de3f48a5829d5b8cbdd957ca06868881f2,Reject,4.0,,Effective diverse sampling approach for GNNs,Effective diverse sampling approach for GNNs,CC005103,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,UtGtoS4CYU,ICLR.cc/2022/Conference/Paper1350/Reviewer_u1a9,seg_ad209f9f8f42b639,full_review,67d9ea0791ad98462d41e51e8ced9a785e2f5299aec52d7add65bb1862701e53,Accept (Poster),6.0,,"Thorough experiments, clear writing, interesting results",Clear writing and strong experimental results,CC002764,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,fV54cBCGEV,ICLR.cc/2024/Conference/Submission105/Reviewer_Av21,seg_c0bc3ed36a1234e4,weakness,80a74d227eb533c91202e8ccae9adc48d8eaba090b47479fb00c0803455aafd8,Reject,3.0,,Limited novelty and benchmarking,Lack of novelty and benchmarking,CC017045,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,nATTIkte9f,ICLR.cc/2024/Conference/Submission6951/Reviewer_tr6o,seg_0e8e8a5771422f6d,strength,2fed70adb3c2adbf777df72b54d06e02a9b668892d221e80b4cb207ecdc606ba,Reject,5.0,,Strong empirical results and reproducibility,Strong empirical results and reproducibility,CC024697,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,Xlayxj2fWp,ICLR.cc/2024/Conference/Submission4658/Reviewer_FS9z,seg_f061155313dbf731,strength,0c86f9480ec3e1750f2fe5f8a9b45faf9c3ee817d1c722d1b36f7d9111c791eb,Accept (poster),6.0,,innovative and practical technique,Innovative technique,CC030301,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,LkB80Rw6Ap,ICLR.cc/2024/Conference/Submission3493/Reviewer_6GYo,seg_fa520086204ab7c1,strength,ce56e99d93071575c3155cc6770486de1f66325b78aa1630968b966af753ae24,Reject,5.0,,Innovative and effective message-passing approach,Innovative and effective message-passing approach,CC010140,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,vh1e2WJfZp,ICLR.cc/2025/Conference/Submission6050/Reviewer_8bJM,seg_dbc464c31f69766b,weakness,6d1a6617a00226b7057556a6166433192a272d9da787eab3def2616ceadac17d,Accept (Poster),6.0,,model\_limitations,Model limitations,CC031331,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,IORAqe04sO,ICLR.cc/2024/Conference/Submission7933/Reviewer_oJwJ,seg_f9d87093fe022597,weakness,0fd00a36974e13beceab12c2f5c16efbedd8094f635733ca88962ded88b05fb0,Reject,3.0,,Lack of clarity and experimental rigor,Insufficient experimental validation,CC014811,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,nf3A0WZsXS5,ICLR.cc/2022/Conference/Paper3016/Reviewer_QqEE,seg_a55d3c9f3f0cb820,full_review,78fc95f1338f85da2aa7aad46bf76e5f4f1b1c4eaebc2438ae024400b500fb02,Accept (Poster),8.0,,Robust regularization strategy and strong statistical results,Novel regularization strategy for robustness,CC032254,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,vxWDoD8oz7,ICLR.cc/2025/Conference/Submission4993/Reviewer_qhzB,seg_a4d554582ee091c9,strength,0bb397e645709f0490497f652e399edc16b02c30e916951f9d2492bd52da5cde,Reject,8.0,,Theoretical foundation,Theoretical foundation,CC025741,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,jZPqf2G9Sw,ICLR.cc/2024/Conference/Submission9128/Reviewer_65X8,seg_3d7f05945349cb90,strength,d4bc621af16af775e093f881746a8fa7469b568751907d14251bff4bde0c615d,Accept (poster),5.0,,Clear methodology and promising initial results,Promising results and clear methodology,CC022583,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,OzXAw20k_H,ICLR.cc/2022/Conference/Paper3926/Reviewer_svsx,seg_17b9bb72d59fdf10,full_review,07643ca415ff44e64498f31b395467b5c27b7be836a3a04cba2370845d7a09c5,Reject,3.0,,Intuitive method with performance improvement,Intuitive method and strong performance,CC015873,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,me09xlTmm8,ICLR.cc/2023/Conference/Paper6427/Reviewer_JvCw,seg_c8806de03ccaec2c,full_review,f50decc00851e875fd88f8efd45462486caadecaa4fb5e10c94315afc7fdd25c,Reject,6.0,,robust theoretical framework and clear methodology,Clear structure and robust theoretical framework,CC002279,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,Svfh1_hYEtF,ICLR.cc/2021/Conference/Paper496/AnonReviewer3,seg_555d987fc3801606,full_review,7dd85b3c8606fbc7970f3d9c3f7b8b4ea005c965fc14559d4f8efdf7cef224f2,Reject,7.0,,Innovative federated continual learning framework,Innovative federated continual learning framework,CC011691,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,dUCWpEUrWo,ICLR.cc/2024/Conference/Submission933/Reviewer_QMJ3,seg_68722b9467818fc5,strength,a1cc716e28bbda8254ef276ab85a29776f3d5355caca0efc262b24f7252c2c68,Reject,3.0,,novel approach to data imputation,Novel approach to data imputation,CC031802,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,rzx3vcvlzj,ICLR.cc/2025/Conference/Submission5539/Reviewer_kFvq,seg_30ceb7c3dbb6a7c6,weakness,7963f5dfa820e472c86fa81e664984ad4eae3b27901b2558bacc5bdf1bef62fd,Accept (Poster),6.0,,performance gap,Performance gap,CC032780,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,EKV158tSfwv,ICLR.cc/2021/Conference/Paper483/AnonReviewer2,seg_31f9871b97cb524d,full_review,24955e69c94e2fa08f675cb9bf6ef9a3f20dfe9fda54f19908c4f83aa77b8f13,Accept (Poster),6.0,,Innovative benchmarks for continual learning,Innovative benchmarks for continual learning,CC010988,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,EwoBTLCY-Y,ICLR.cc/2023/Conference/Paper1099/Reviewer_MBuL,seg_b01b672cfd07f800,full_review,8c2d925da7e8be744a4adb6ed6e70a9b9e90a2e9438281f1174e7a3ae7a13b5b,Reject,5.0,,Clear motivation and thorough analysis,Clear motivation and thorough analysis,CC001824,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,gU6OqJfO0G,ICLR.cc/2024/Conference/Submission2965/Reviewer_vspK,seg_1991c7f077970bf7,strength,76646673c27162467e3ea2ca05b3e87ad77e576588422b0d1649dfdb680c13cf,Reject,5.0,,Significant problem addressed with strong experimental results,Significant problem addressed with strong experimental results,CC024058,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,M9u_ctqFUlg,ICLR.cc/2023/Conference/Paper1549/Reviewer_rg8D,seg_614a812eb6627e73,full_review,eae872616e610fe874b59d08129a0dc1bef5680d96c8b24eec449efa74619f2d,Accept: poster,6.0,,Clear writing and strong empirical validation,Clear writing and strong empirical validation,CC002759,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,ygtmPu0xZy,ICLR.cc/2025/Conference/Submission11456/Reviewer_rTcE,seg_8dd6123e8266f3f5,weakness,bbf613f4ef4ee5e0161c83d2497d5f1f761745389e7d11d4abd51cf33f23e2f6,Reject,5.0,,Insufficient details,Insufficient detail,CC030381,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,SwIp410B6aQ,ICLR.cc/2022/Conference/Paper2983/Reviewer_QSqm,seg_612bf26b0817b093,full_review,d216ee88f87f981963b21f7bdc8267e8876d270e21529a0ccc82480f2a2f78bb,Accept (Poster),6.0,,Thorough experiments and clear writing,Clear writing and strong experimental results,CC002764,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,Iuubb9W6Jtk,ICLR.cc/2023/Conference/Paper1977/Reviewer_gv9a,seg_8f57507ea18e144a,full_review,1603bb2257e286515932e14e3a4419516cb2ce00ef499d35efe902a5e631f190,Accept: notable-top-25%,8.0,,Strong empirical validation and significant contributions to OOD detection,Novel OOD detection criterion,CC019632,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,BwPaPxwgyQb,ICLR.cc/2022/Conference/Paper2961/Reviewer_ZD71,seg_1d1add69c2ecba59,full_review,e5f7ab809afb692c2257168e088e08e2334ca7f2f562b3eef46ce487f5151fc9,Accept (Poster),5.0,,novel approach to hyper-parameter optimization,Hyper-parameter optimization,CC008293,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,wrVZ771SZQ,ICLR.cc/2025/Conference/Submission11422/Reviewer_hhrw,seg_204e221489f0551c,weakness,3c75efc2405da757fe776150e8574956cee979d85cc7a11dfaef24a2749c1ae5,Reject,3.0,,large-scale validation lacking,Large-scale validation,CC030765,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,EdXhmWvvQV,ICLR.cc/2021/Conference/Paper27/AnonReviewer1,seg_9eda19a7a0b2c073,full_review,63487801f884c739899c511e1da9b7bbd70c1bfe0755e56e768395a27731e6ff,Reject,5.0,,Innovative data augmentation method for contrastive learning,Enhanced data augmentation for contrastive learning,CC006804,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,Rq13idF0F73,ICLR.cc/2023/Conference/Paper1553/Reviewer_WWrH,seg_2b1f5039bd5186bc,full_review,cbdd3e7bd27cb242b83357a0adad4490adead3d3d1c81766c6dbb314f05da346,Accept: poster,6.0,,Innovative approach to 3D molecular generation,Innovative 3D molecule generation approach,CC009434,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,jE8xbmvFin,ICLR.cc/2024/Conference/Submission8514/Reviewer_MD6k,seg_06d57bf9156d18e1,strength,7e52ac315fac03dde439dafbd25364e38c697de8c27adc45946f36d3c5ac7214,Accept (poster),8.0,,Clear methodology and presentation,Effective methodology and clear presentation,CC005570,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,x5LvBK43wg,ICLR.cc/2024/Conference/Submission7713/Reviewer_DVoa,seg_6689a8a2d1715a50,strength,62e4303e0b76445b556f1ec5aec2e7c4cde5ca2f5838d8784dee63f18aa7d96f,Accept (poster),6.0,,Innovative approach with strong experimental validation,Innovative approach with strong experimental validation,CC010832,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,wSkvf2WyYz,ICLR.cc/2025/Conference/Submission8098/Reviewer_BqFn,seg_6f85ed1ac5fcf1cf,weakness,ae158feda92a8f5d262992616a9a709da28e01a935a3def98e86af8fd2570571,Accept (Poster),6.0,,priorwork comparison,Priorwork comparison,CC032933,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,OEL4FJMg1b,ICLR.cc/2024/Conference/Submission1354/Reviewer_8eDU,seg_877c71e9ed030198,weakness,022f51d5f2da98be754ce77231972fe59e88b3f912c9f6abdabb0a3cc299515b,Accept (spotlight),6.0,,Concerns about venue suitability and writing clarity,Writing clarity and venue suitability issues,CC027842,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,HklliySFDS,ICLR.cc/2020/Conference/Paper1902/AnonReviewer1,seg_f213e435fa8e0ffa,full_review,bcd2b333d03ca7906dbf363798d51191253fcdca83c79ab587d8796f462faafb,Reject,3.0,,Innovative continual learning approach with strong performance,Innovative framework for continual learning,CC011789,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,AT0K-SZ3QGq,ICLR.cc/2022/Conference/Paper727/Reviewer_mQ15,seg_4d94d3c64a02a0c1,full_review,136ac6678ac5674da6e269473f1f214d1d1f7f7c6205e06c02e4536bea7c664e,Reject,6.0,,novel personalized federated learning approach,Novel personalized federated learning approach,CC032213,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,G32oY4Vnm8,ICLR.cc/2024/Conference/Submission2154/Reviewer_z5Xh,seg_f91b35301d6c3235,strength,db652f7e5495d824fc816ca2fe15e569cbcc449a723f27758591dfce10241190,Accept (spotlight),8.0,,novel approach with impressive results,Novel approach with impressive results,CC031845,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,vbebD7QRxP,ICLR.cc/2024/Conference/Submission8025/Reviewer_Zypu,seg_23b73d46dc1c59c0,weakness,2ae18bf24c21d0fe878d43653f09b9c219d6b2e244d188f8e6a6923ac1d0cc65,Reject,3.0,,Presentation and evaluation issues,Presentation and evaluation issues,CC022383,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,MCl0TLboP1,ICLR.cc/2024/Conference/Submission7779/Reviewer_8Sx2,seg_9bc377c003e48cd6,strength,97e30b32344a30161bfdb3cb495dfa8331469797cbe49dc268f4d44318597916,Accept (spotlight),5.0,,Effective enhancement of offline RL algorithms,Effective enhancement of offline RL algorithms,CC005135,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,uqWM9hBDAE,ICLR.cc/2025/Conference/Submission10263/Reviewer_QhE7,seg_75f05a2561737ee2,weakness,22962c014c3906b5de133b8acaf25e457006e084a8d073ccf52929b094811278,Accept (Spotlight),8.0,,No weaknesses,No weaknesses,CC031620,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,H8XpqEkbua_,ICLR.cc/2023/Conference/Paper1264/Reviewer_gV1f,seg_264cd0172c010263,full_review,caecb29791cfcfeedcf509072941f36e15a82a1e0f2962307060c64e202efb41,Reject,6.0,,Interesting idea with strong empirical results,Interesting idea with empirical results,CC015292,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,SkgWeJrYwr,ICLR.cc/2020/Conference/Paper1494/AnonReviewer4,seg_a9db10213fb14a10,full_review,a4f546c0c8c5efb8e196c5bc64287c7e6fedd6e71fe2ac94a35ffda611d8fdb7,Reject,3.0,,Effective feature selection method with strong experimental results,Novel feature selection method with strong experimental results,CC020500,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,SyxhaxBKPS,ICLR.cc/2020/Conference/Paper2588/AnonReviewer3,seg_ebbbff1d190a978d,full_review,aadb60c5fe18bff91abddbf9c0b76f30566e4476a0a6b307ec0cc2ff1a259f15,Reject,6.0,,Generalization of low-bit quantization methods,Effective low-bit quantization technique,CC005440,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,mfwdY3U_9ea,ICLR.cc/2022/Conference/Paper2749/Reviewer_KjND,seg_27ff8a50f607df06,full_review,27d3fea66be54bd6854e915c3b088e117a683887fad121477944d28d437d99ef,Accept (Poster),8.0,,Novel methodology and strong empirical results,Novel methodology and strong empirical results,CC020943,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,yzloNYH3QN,ICLR.cc/2025/Conference/Submission13153/Reviewer_d1gB,seg_72aba8c6387df674,strength,8964c0b46c8cbb4150ad18ebab664a91655c9fa1452f2ed34010ceff8d8ce4e1,Accept (Poster),6.0,,clear-writing-effective-method,Clear writing and effective methodology,CC002442,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,eLxADkHrBcR,ICLR.cc/2023/Conference/Paper5882/Reviewer_71fS,seg_83f9eb64d18416d9,full_review,f2bc53eedcfa3d697f87106fc3a82b92dd4cbe63b69f661a6393f8140571a59c,Reject,1.0,,clear writing and engaging topic,Clear writing and engaging topic,CC002469,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,mzxKLZNbrQ,ICLR.cc/2024/Conference/Submission4734/Reviewer_HLpF,seg_21342d41db2ac455,weakness,911acc5d727068640e04f22980b9ea1afd52341fd3277ed6ae2006ff17912dce,Reject,6.0,,Limited evaluation and presentation issues,Presentation and evaluation issues,CC022383,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,rpwGUtTeA5,ICLR.cc/2025/Conference/Submission13837/Reviewer_8sRK,seg_1fbec3507e920436,strength,ed2b467b887da0a52b03f87fb1d07db2ddfaf6978e47ce664d3fdb554cde14e2,Accept (Spotlight),8.0,,"strong results, extensive experiments","Strong results, extensive experiments",CC033845,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,rJeidA4KvS,ICLR.cc/2020/Conference/Paper1224/AnonReviewer2,seg_fc46ea74ecc5d4b2,full_review,a3814d74bb095c5e6b45e4f199382828930655bb47f18a70dbf28e69a6d496fd,Reject,3.0,,Innovative distillation method with strong results,Innovative distillation method with strong results,CC011419,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
